date,code,usdprice
#date,#meta+code,#value+usd
2007-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.13
2007-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.42
2007-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.42
2007-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.59
2007-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.59
2007-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.54
2007-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.54
2007-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.45
2007-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.45
2007-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.61
2007-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.61
2007-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.77
2007-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.99
2007-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.96
2007-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.96
2008-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.93
2008-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,2.93
2008-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.22
2008-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2008-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.85
2008-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.79
2008-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.92
2008-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.92
2008-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.92
2008-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2008-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2008-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.47
2008-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.47
2008-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.3
2008-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.3
2008-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.4
2008-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2008-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2008-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.89
2009-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2009-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.94
2009-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.76
2009-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.76
2009-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.76
2009-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4
2009-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4
2009-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.18
2009-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.18
2009-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.99
2009-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.05
2009-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2009-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2009-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.27
2009-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.32
2009-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.32
2009-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.26
2009-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.97
2009-12-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.97
2010-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.14
2010-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.14
2010-02-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.03
2010-03-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.93
2010-04-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.91
2010-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.71
2010-05-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.71
2010-06-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.49
2010-07-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.63
2010-08-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.82
2010-09-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.87
2010-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.05
2010-10-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,4.05
2010-11-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.95
2011-01-15,Gaza Strip-Gaza-Gaza-Meat (chicken)-KG-Retail-ILS,3.45
