date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2025-10-21,2025,Gaza Crisis - 2025,1425517,"Canada, Government of",Governments,CAN,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE Canada,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-10-21,,2000000,CAD,1.403,364910,P015875,2025-10-21,2025-10-21
2025-10-21,2025,Gaza Crisis - 2025,1425517,"Canada, Government of",Governments,CAN,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,MA’AN Development Center,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-10-21,,2000000,CAD,1.403,364911,P015876,2025-10-21,2025-10-21
2025-10-21,2025,Gaza Crisis - 2025,1069138,"Canada, Government of",Governments,CAN,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Union of Medical Care and Relief Organizations,NGOs,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-10-21,,1500000,CAD,1.403,364912,P015877,2025-10-21,2025-10-21
2025-10-21,2025,Gaza Crisis - 2025,1425517,"Canada, Government of",Governments,CAN,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Humanity & Inclusion Canada,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-10-21,,2000000,CAD,1.403,364913,P015878,2025-10-21,2025-10-21
2025-10-21,2025,ICRC - International Committee of the Red Cross	No,2180233,"Canada, Government of",Governments,CAN,2025,2025,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Multi-sector,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-01-09,,3000000,CAD,1.376,364914,P015770,2025-10-21,2025-10-21
2025-10-21,2025,Assistance in response to crisis-affected people,1425517,"Canada, Government of",Governments,CAN,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,International Medical Corps UK,NGOs,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-10-21,,2000000,CAD,1.403,364915,P015879,2025-10-21,2025-10-21
2025-10-21,2025,Palestine: WASH Humanitarian Action for Children Appeal,0,"Australia, Government of",Governments,AUS,2025,2025,,,,United Nations Population Fund,Multilateral Organizations,,PSE,,,,2025,2025,financial,Parked,Traditional aid,incoming,single,paid,2025-10-21,2025-04-16,,0,AUD,1.612,364916,77337/25,2025-10-21,2025-10-21
2025-10-21,2025,"Supporting conflict-affected civilians, including: providing aid, for example cash assistance and essential supplies; supporting those that were captured/detained to the extent possible; supporting identification and dignified processes for those who have died; and advocating to prevent further violations of International Humanitarian Law.",3970880,"Australia, Government of",Governments,AUS,2025,2025,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Multi-sector,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-04-16,,6000000,AUD,1.511,364917,77339/9,2025-10-21,2025-10-21
2025-10-21,2025,Funding for medical equipment and supplies for an additional advanced field hospital in Gaza.,3142678,"Australia, Government of",Governments,AUS,2025,2025,,,,Jordan Hashemite Charity Organization,Private Organizations,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-06-04,,5000000,AUD,1.591,364919,81084,2025-10-21,2025-10-21
2025-10-21,2025,"Lifesaving assistance to conflict-affected civilians, primarily in Gaza, through the provision of food aid.",3771213,"Australia, Government of",Governments,AUS,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,World Food Programme,Multilateral Organizations,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-09-18,Gaza,6000000,AUD,1.591,364920,77335/25,2025-10-21,2025-10-21
2025-10-21,2025,"Supporting conflict-affected civilians, including: providing aid, for example cash assistance and essential supplies; supporting those that were captured/detained to the extent possible; supporting identification and dignified processes for those who have died; and advocating to prevent further violations of International Humanitarian Law.",3309067,"Australia, Government of",Governments,AUS,2025,2025,,,,International Committee of the Red Cross,Red Cross/Red Crescent Organizations,Multi-sector,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-21,2025-09-24,,5000000,AUD,1.511,364922,77339/9,2025-10-21,2025-10-21
2025-10-20,2025,"Health	Sustaining maternal and gynecological services in the Gaza Strip
----- AECID",404624,"Spain, Government of",Governments,ESP,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Al Awda Health and Community Association,NGOs,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,pledge,2025-10-20,,AECID,350000,EUR,0.865,364891,Z03/25/01/15200,2025-10-20,2025-10-20
2025-10-20,2025,"Health	Urgent access to and improvement of health services and temporary shelter solutions for vulnerable populations affected by the armed conflict in Gaza and the West Bank
----- AECID",578035,"Spain, Government of",Governments,ESP,2025,2025,,,,Palestine Red Crescent Society,Red Cross/Red Crescent Organizations,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,pledge,2025-10-20,,AECID,500000,EUR,0.865,364893,,2025-10-20,2025-10-20
2025-10-20,2025,Protection	Urgent humanitarian protection for vulnerable and internally displaced Palestinians in the West Bank and East Jerusalem,981182,"Spain, Government of",Governments,ESP,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Fundación Mundubat,NGOs,Protection,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,pledge,2025-10-20,,AECID,848722,EUR,0.865,364894,,2025-10-20,2025-10-20
2025-10-20,2025,Protection - Gender-Based Violence	Comprehensive protection and promotion of the rights of women and girls affected by sexual and gender-based violence in the context of the humanitarian emergency in the Gaza Strip,1079413,"Spain, Government of",Governments,ESP,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs,Protection - Gender-Based Violence,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,pledge,2025-10-20,,AECID,933692,EUR,0.865,364895,,2025-10-20,2025-10-20
2025-10-20,2025,"contribution to humanitarian efforts in Gaza, delivered in close coordination with the UN-led 60-Day Plan with an urgent focus on care environments for Palestinian children and the huge psycho-social needs caused by the war.",6514658,Minderoo Foundation,Private Organizations,,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,UN Agencies (Confidential),Multilateral Organizations,Protection - Child Protection,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,commitment,2025-10-20,2025-10-20,,10000000,AUD,1.535,364896,,2025-10-20,2025-10-20
2025-10-20,2025,Multi-sector	Emergency Action to address Gaza’s Crisis	Cash Transfer Programming (CTP),5854801,"Italy, Government of",Governments,ITA,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,United Nations Children's Fund,Multilateral Organizations,Multipurpose Cash,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),incoming,single,paid,2025-10-20,2025-07-01,,5000000,EUR,0.854,364901,,2025-10-20,2025-10-20
2025-10-20,2025,Health	Emergency Action to address Gaza’s Crisis	Financial	Cash Transfer Programming (CTP),5854801,"Italy, Government of",Governments,ITA,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,World Health Organization,Multilateral Organizations,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),incoming,single,paid,2025-10-20,2025-07-01,,5000000,EUR,0.854,364903,,2025-10-20,2025-10-20
2025-10-17,2025,AFAD-Türkiye	2025,344244,"Türkiye, Government of",Governments,TUR,2025,2025,,,,Egyptian Red Crescent Society,Red Cross/Red Crescent Organizations,Logistics,PSE,,,oPt Complex Emergency 2023-24,2025,2025,in kind,Standard,Traditional aid,incoming,single,paid,2025-10-17,2025-10-13,,,,,364776,AFAD-25-PS-06-LOG,2025-10-17,2025-10-17
2025-10-17,2025,AFAD-Türkiye	2025,2825811,"Türkiye, Government of",Governments,TUR,2025,2025,,,,Egyptian Red Crescent Society,Red Cross/Red Crescent Organizations,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,in kind,Standard,Traditional aid,incoming,single,paid,2025-10-17,2025-10-13,,,,,364778,AFAD-25-PS-06-FOOD,2025-10-17,2025-10-17
2025-10-16,2025,Coordination and support services	Four Humanitarian airbridge to transport medical supplies in response to Gaza conflict,520000,Dubai Humanitarian,Governments,ARE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,World Health Organization,Multilateral Organizations,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,incoming,single,paid,2025-10-16,2025-10-15,Gaza,1909960,AED,3.673,364602,IHC-2025-0002,2025-10-16,2025-10-16
2025-10-16,2025,Emergency food aid	Provision of food and livelihood expenses for the affected families from January to September 2025,365952900,"United Arab Emirates, Government of",Governments,ARE,2025,2025,,,,UAE Aid,Governments,Food Security,PSE,,,oPt Complex Emergency 2023-24,2025,2025,in kind,Standard,Traditional aid,incoming,single,paid,2025-10-16,,,1344145000,AED,3.673,364608,GOV-2025-0033,2025-10-16,2025-10-16
