date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,id,refCode,createdAt,updatedAt
#date,#date+year+budget,#description+notes,#value+funding+total+usd,#org+name+funder,#org+type+funder+list,#country+iso3+funder+list,#date+year+start+funder,#date+year+end+funder,#activity+appeal+name,#activity+appeal+id+external,#activity+appeal+id+fts_internal,#org+name+impl,#org+type+impl+list,#sector+cluster+name+list,#country+iso3+impl+list,#activity+project+name,#activity+project+code,#crisis+name,#date+year+start+impl,#date+year+end+impl,#financial+contribution+type,#financial+contribution+type,#financial+method,#financial+direction,#financial+direction+type,#status+text,#date+reported,#date+decision,#description+keywords,#value+funding+total,#value+funding+total+currency,#financial+fx,#activity+id+fts_internal,#activity+code,#date+created,#date+updated
2025-10-18,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Supporting Emergency Health Response across the Gaza Strip 2025
Project Start Date: 2025-10-15 - Project End Date: 2026-04-14
Project Code: CBPF-OPT-25-R-UN-37664
Emergency Type: Conflict - Violence/clashes",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,World Health Organization,Multilateral Organizations,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-14,2025-10-16,,,,,364844,CBPF-OPT-25-R-UN-37664,2025-10-18,2025-10-18
2025-10-18,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Supporting Emergency Health Response across the Gaza Strip 2025
Project Start Date: 2025-10-15 - Project End Date: 2026-04-14
Project Code: CBPF-OPT-25-R-UN-37664
Emergency Type: Conflict - Violence/clashes",1000000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,World Health Organization,Multilateral Organizations,Health,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-14,2025-10-16,,,,,364845,CBPF-OPT-25-R-UN-37664,2025-10-18,2025-10-18
2025-10-17,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 1: Reserve Allocation]
Emergency Cash Assistance to Meet Life-Saving Needs of Displaced Families in Gaza
Project Start Date: 2025-10-15 - Project End Date: 2026-06-14
Project Code: CBPF-OPT-25-R-INGO-37615
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-14,2025-10-15,,,,,364674,CBPF-OPT-25-R-INGO-37615,2025-10-19,2025-10-20
2025-10-17,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 1: Reserve Allocation]
Emergency Cash Assistance to Meet Life-Saving Needs of Displaced Families in Gaza
Project Start Date: 2025-10-15 - Project End Date: 2026-06-14
Project Code: CBPF-OPT-25-R-INGO-37615
Emergency Type: Conflict - Displacement
Emergency Type: Conflict - Violence/clashes",552048,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Oxfam Novib Netherlands,NGOs,Multipurpose Cash,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Cash transfer programming (CTP),internal,single,paid,2025-10-14,2025-10-15,,,,,364675,CBPF-OPT-25-R-INGO-37615,2025-10-19,2025-10-20
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Provision of urgent dignified shelter solutions that reduce protection risks, restore safety and improve living conditions for populations affected by
Project Start Date: 2025-10-08 - Project End Date: 2026-10-06
Project Code: CBPF-OPT-25-R-INGO-37674
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-10,2025-10-13,,,,,364546,CBPF-OPT-25-R-INGO-37674,2025-10-17,2025-10-17
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Provision of urgent dignified shelter solutions that reduce protection risks, restore safety and improve living conditions for populations affected by
Project Start Date: 2025-10-08 - Project End Date: 2026-10-06
Project Code: CBPF-OPT-25-R-INGO-37674
Emergency Type: Conflict - Displacement",800000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,CARE International,NGOs,Emergency Shelter and NFI,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-10,2025-10-13,,,,,364547,CBPF-OPT-25-R-INGO-37674,2025-10-17,2025-10-17
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Enhancing Access to Safe Water, Sanitation, and Hygiene Practices for Vulnerable communities affected by conflicts.
Project Start Date: 2025-10-12 - Project End Date: 2026-05-11
Project Code: CBPF-OPT-25-R-NGO-37625
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Beit Lahia  Development Association ,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-10,2025-10-13,,,,,364548,CBPF-OPT-25-R-NGO-37625,2025-10-15,2025-10-15
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Enhancing Access to Safe Water, Sanitation, and Hygiene Practices for Vulnerable communities affected by conflicts.
Project Start Date: 2025-10-12 - Project End Date: 2026-05-11
Project Code: CBPF-OPT-25-R-NGO-37625
Emergency Type: Conflict - Displacement",250000,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Beit Lahia  Development Association ,NGOs,Water Sanitation Hygiene,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Standard,Traditional aid,internal,single,paid,2025-10-10,2025-10-13,,,,,364549,CBPF-OPT-25-R-NGO-37625,2025-10-15,2025-10-15
2025-10-15,2025,"Allocation Type: Reserve - Third Reserve Allocation 2025 [Track 2: 48-Hour Allocation]
Life-saving food, cash and livelihoods assistance to vulnerable households in Deir Al Balah and Gaza City governorates
Project Start Date: 2025-10-13 - Project End Date: 2026-04-12
Project Code: CBPF-OPT-25-R-NGO-37658
Emergency Type: Conflict - Displacement",0,Occupied Palestinian Territory Humanitarian Fund,Pooled Funds,PSE,2025,2025,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,1273,Youth Vision Society,NGOs,,PSE,,,oPt Complex Emergency 2023-24,2025,2025,financial,Parked,Traditional aid,internal,single,paid,2025-10-10,2025-10-13,,,,,364550,CBPF-OPT-25-R-NGO-37658,2025-10-17,2025-10-17
