countryCode,id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
#country+code,#activity+appeal+id+fts_internal,#activity+appeal+name,#activity+appeal+id+external,#date+start,#date+end,#date+year,#sector+cluster+code,#sector+cluster+name,#value+funding+required+usd,#value+funding+total+usd,#value+funding+pct
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8689,Coordination and Support Services,175594351,9817156,6
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8684,Education,197686536,6433412,3
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8691,Emergency Telecommunications,1039270,,
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8685,Food Security,1257544309,11389092,1
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8687,Health,485796939,28470212,6
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8690,Logistics,52000000,,
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8682,Multi-purpose Cash Assistance,592625000,3370126,1
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8688,Nutrition,231566600,6547097,3
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8619,Protection,332748667,16722444,5
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8686,Shelter,193730638,5073627,3
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8692,Site Management,70499998,,
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,8683,"Water, Sanitation and Hygiene",473473500,4497444,1
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,,Not specified,,19691096,
PSE,1510,Escalation of Hostilities in the OPT Flash Appeal 2026,FPSE26,2026-01-01,2026-12-31,2026,,Multiple clusters/sectors (shared),,12356812,
PSE,1273,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,2025-01-01,2025-12-31,2025,8190,Coordination and Support Services,285054038,36019001,13
PSE,1273,Escalation of Hostilities in the OPT Flash Appeal 2025,FPSE25,2025-01-01,2025-12-31,2025,8188,Education,230331261,52606475,23
